Unnamed: 0,gene_name,sampl_1
ENSG00000013573.15,DDX11,109039.9323
ENSG00000013583.7,HEBP1,351524.8825
ENSG00000013588.5,GPRC5A,2615630.791
ENSG00000013619.12,MAMLD1,20618.94071
ENSG00000013725.13,CD6,11627.7305
ENSG00000013810.17,TACC3,266359.9424
ENSG00000014123.9,UFL1,265857.3281
ENSG00000014138.7,POLA2,81034.16191
ENSG00000014164.6,ZC3H3,214398.1357
ENSG00000014216.14,CAPN1,724127.9538
ENSG00000014257.14,ACPP,14985.34498
ENSG00000014641.16,MDH1,639845.7977
ENSG00000014824.12,SLC30A9,260231.5841
ENSG00000014914.18,MTMR11,769588.0929
ENSG00000014919.11,COX15,282340.7777
ENSG00000015133.17,CCDC88C,95297.8254
ENSG00000015153.13,YAF2,25306.08166
ENSG00000015171.17,ZMYND11,348213.9973
ENSG00000015285.9,WAS,8627.35741
ENSG00000015413.8,DPEP1,338322.7352
ENSG00000015475.17,BID,257648.218
ENSG00000015479.16,MATR3,11154.09544
ENSG00000015520.13,NPC1L1,6442.012721
ENSG00000015532.8,XYLT2,208382.2822
ENSG00000015568.11,RGPD5,28.41475671
ENSG00000015592.15,STMN4,0
ENSG00000015676.16,NUDCD3,190536.4956
ENSG00000016082.13,ISL1,13975.68273
ENSG00000016391.9,CHDH,279318.377
ENSG00000016402.11,IL20RA,139652.8222
ENSG00000016490.14,CLCA1,12869035.87
ENSG00000016602.9,CLCA4,5959.308962
ENSG00000016864.15,GLT8D1,317204.0296
ENSG00000017260.18,ATP2C1,392016.9998
ENSG00000017427.14,IGF1,298.8345564
ENSG00000017483.13,SLC38A5,7325.08218
ENSG00000017797.10,RALBP1,399947.8304
ENSG00000018189.11,RUFY3,80056.72848
ENSG00000018236.13,CNTN1,107.522471
ENSG00000018280.15,SLC11A1,4503.178896
ENSG00000018408.13,WWTR1,21496.23798
ENSG00000018510.11,AGPS,143137.2137
ENSG00000018610.12,CXorf56,169073.5845
ENSG00000018625.13,ATP1A2,1151.163095
ENSG00000018699.10,TTC27,183748.2396
ENSG00000018869.15,ZNF582,480.9303598
ENSG00000019102.10,VSIG2,1957923.077
ENSG00000019144.15,PHLDB1,51084.45957
ENSG00000019169.10,MARCO,193.7369775
ENSG00000019186.8,CYP24A1,304.2138794
ENSG00000019485.11,PRDM11,22081.55868
ENSG00000019505.6,SYT13,630530.6022
ENSG00000019549.7,SNAI2,8119.124501
ENSG00000019582.13,CD74,1796693.669
ENSG00000019991.14,HGF,2399.381403
ENSG00000019995.6,ZRANB1,42946.08604
ENSG00000020129.14,NCDN,141058.7231
ENSG00000020181.16,GPR124,10552.9171
ENSG00000020256.18,ZFP64,74258.27318
ENSG00000020426.9,MNAT1,57420.78296
ENSG00000020577.12,SAMD4A,14132.02205
ENSG00000020633.17,RUNX3,52451.23477
ENSG00000020922.11,MRE11A,69618.09407
ENSG00000021300.12,PLEKHB1,211310.0564
ENSG00000021355.11,SERPINB1,3367384.924
ENSG00000021461.15,CYP3A43,305.4828793
ENSG00000021488.11,SLC7A9,1706.034247
ENSG00000021574.10,SPAST,131272.1697
ENSG00000021645.16,NRXN3,794.6452249
ENSG00000021762.18,OSBPL5,277672.7057
ENSG00000021776.9,AQR,54545.4946
ENSG00000021826.13,CPS1,127575.0206
ENSG00000021852.11,C8B,737.9611145
ENSG00000022267.15,FHL1,28007.15633
ENSG00000022277.11,RTFDC1,473659.5876
ENSG00000022355.13,GABRA1,0
ENSG00000022556.14,NLRP2,255.2061944
ENSG00000022567.8,SLC45A4,105327.1289
ENSG00000022840.14,RNF10,546351.4525
ENSG00000022976.14,ZNF839,66433.34536
ENSG00000023041.10,ZDHHC6,401919.4556
ENSG00000023171.13,GRAMD1B,31867.78949
ENSG00000023191.15,RNH1,612853.588
ENSG00000023228.12,NDUFS1,185039.4064
ENSG00000023287.11,RB1CC1,124351.1285
