gene_id,gene_name,CPT0019990006,CPT0017440009,CPT0077290006
ENSG00000005812.9,FBXL3,241614.5543,211175.3279,336157.3328
ENSG00000005844.16,ITGAL,157700.0455,275146.5796,108511.4474
ENSG00000005882.10,PDK2,145294.0903,98433.274,122220.2083
ENSG00000005884.16,ITGA3,614704.2304,680921.3394,512405.5915
ENSG00000005889.14,ZFX,168055.0552,200732.8293,207695.3828
ENSG00000005893.14,LAMP2,836028.7173,628692.2363,1024454.671
ENSG00000005961.16,ITGA2B,7383.3135,6315.339,3859.4678
ENSG00000005981.11,ASB4,618.0597,387.086,1475.1239
ENSG00000006007.10,GDE1,157776.5266,172359.7871,159742.1407
ENSG00000006015.16,C19orf60,158439.322,71759.6633,57525.2885
ENSG00000006016.9,CRLF1,21501.8414,6103.2104,14024.2802
ENSG00000006025.10,OSBPL7,31527.8145,50539.4065,39277.5319
ENSG00000006042.10,TMEM98,134324.4923,115811.2613,121290.0109
ENSG00000006047.11,YBX2,9244.7969,3087.9709,5204.9756
ENSG00000006059.3,KRT33A,0,923.3521,0
ENSG00000006062.12,MAP3K14,108846.8354,261145.4905,90095.1982
ENSG00000006071.10,ABCC8,251.9473,1139.6137,616.7416
ENSG00000006116.3,CACNG3,0,0,0
ENSG00000006118.13,TMEM132A,80010.464,33668.1269,25871.5919
ENSG00000006125.15,AP2B1,563981.0399,746578.3522,573293.1911
ENSG00000006128.10,TAC1,301.5005,0,0
ENSG00000006194.9,ZNF263,148025.1581,150747.2985,161011.2863
ENSG00000006210.6,CX3CL1,314157.9858,603512.2886,272926.5687
ENSG00000006282.18,SPATA20,276670.4693,187482.514,253679.2859
ENSG00000006283.16,CACNA1G,351.7765,183.5958,0
ENSG00000006327.12,TNFRSF12A,415527.7387,896088.4629,533561.8007
ENSG00000006377.10,DLX6,0,2928.6779,1060.5219
ENSG00000006432.14,MAP3K9,6434.088,11657.115,12487.498
ENSG00000006451.6,RALA,150501.156,202003.9898,183778.0905
ENSG00000006453.12,BAIAP2L1,64184.0414,69721.0687,40840.0082
ENSG00000006459.9,KDM7A,172520.4449,203960.8864,193110.499
ENSG00000006468.12,ETV1,44160.5436,24839.765,25920.2222
ENSG00000006530.14,AGK,162501.3593,173343.2402,191790.1179
ENSG00000006534.14,ALDH3B1,91836.7088,112719.6756,181853.9203
ENSG00000006555.9,TTC22,69379.6736,45924.8334,68434.3011
ENSG00000006576.15,PHTF2,86379.0934,109269.2034,119422.5954
ENSG00000006606.7,CCL26,11287.9057,1683.2211,21463.8732
ENSG00000006607.12,FARP2,61097.8552,130271.2499,79868.3857
ENSG00000006611.14,USH1C,486819.5408,595025.1968,640701.2018
ENSG00000006625.16,GGCT,141149.8132,115710.1234,75909.8031
ENSG00000006634.6,DBF4,33783.8457,48747.671,34204.7321
ENSG00000006638.10,TBXA2R,30163.4364,29357.8356,8606.0069
ENSG00000006652.12,IFRD1,234488.4066,224611.4662,210576.6446
ENSG00000006659.11,LGALS14,0,1652.0215,0
ENSG00000006695.9,COX10,111262.432,83357.1229,77589.4235
ENSG00000006704.9,GTF2IRD1,69467.7957,73609.1932,66985.3901
ENSG00000006712.13,PAF1,400041.9031,197093.9664,242269.4597
ENSG00000006715.14,VPS41,403300.9309,366057.5533,434116.7468
ENSG00000006740.15,ARHGAP44,18522.6111,20614.6983,8726.7337
ENSG00000006744.17,ELAC2,184720.3565,197871.7317,184884.0794
ENSG00000006747.13,SCIN,27523.7824,89819.2466,51205.9329
ENSG00000006756.14,ARSD,180567.4961,188649.1051,236961.4965
ENSG00000006757.10,PNPLA4,51943.955,35225.8417,96124.4424
ENSG00000006788.11,MYH13,717.2568,1778.1327,11193.0483
ENSG00000006831.9,ADIPOR2,287328.0347,337320.3241,200461.8624
ENSG00000006837.10,CDKL3,22903.387,12633.7943,24272.1195
ENSG00000007001.11,UPP2,28683.027,21500.489,14667.0092
ENSG00000007038.9,PRSS21,1157.5658,1208.2909,1859.5526
ENSG00000007047.13,MARK4,52159.7687,64158.2913,60183.9136
ENSG00000007062.10,PROM1,51302.9435,90956.8872,1144809.793
